Sample	Fastq1	Fastq2
Cntrl_1_Slide_1	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_001_1_A1_July_2026_RNA_Cntrl_1_Slide_1__S10_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_001_1_A1_July_2026_RNA_Cntrl_1_Slide_1__S10_R2_001.fastq.gz
Cntrl_1_Slide_2	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_002_1_B1_July_2026_RNA_Cntrl_1_Slide_2__S11_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_002_1_B1_July_2026_RNA_Cntrl_1_Slide_2__S11_R2_001.fastq.gz
Cntrl_1_Slide_3	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_003_1_C1_July_2026_RNA_Cntrl_1_Slide_3__S12_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_003_1_C1_July_2026_RNA_Cntrl_1_Slide_3__S12_R2_001.fastq.gz
DNP_1_Slide_1	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_004_1_D1_July_2026_RNA_DNP_1_Slide_1__S13_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_004_1_D1_July_2026_RNA_DNP_1_Slide_1__S13_R2_001.fastq.gz
DNP_1_Slide_2	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_005_1_E1_July_2026_RNA_DNP_1_Slide_2__S14_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_005_1_E1_July_2026_RNA_DNP_1_Slide_2__S14_R2_001.fastq.gz
DNP_1_Slide_3	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_006_1_F1_July_2026_RNA_DNP_1_Slide_3__S15_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_006_1_F1_July_2026_RNA_DNP_1_Slide_3__S15_R2_001.fastq.gz
RT_1_Slide_1	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_007_1_G1_July_2026_RNA_RT_1_Slide_1__S16_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_007_1_G1_July_2026_RNA_RT_1_Slide_1__S16_R2_001.fastq.gz
RT_1_Slide_2	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_008_1_H1_July_2026_RNA_RT_1_Slide_2__S17_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_008_1_H1_July_2026_RNA_RT_1_Slide_2__S17_R2_001.fastq.gz
RT_1_Slide_3	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_009_1_A2_July_2026_RNA_RT_1_Slide_3__S18_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_009_1_A2_July_2026_RNA_RT_1_Slide_3__S18_R2_001.fastq.gz
DNPRT_1_Slide_1	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_010_1_B2_July_2026_RNA_DNPRT_1_Slide_1__S19_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_010_1_B2_July_2026_RNA_DNPRT_1_Slide_1__S19_R2_001.fastq.gz
DNPRT_1_Slide_2	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_011_1_C2_July_2026_RNA_DNPRT_1_Slide_2__S20_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_011_1_C2_July_2026_RNA_DNPRT_1_Slide_2__S20_R2_001.fastq.gz
DNPRT_1_Slide_3	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_012_1_D2_July_2026_RNA_DNPRT_1_Slide_3__S21_R1_001.fastq.gz	/cluster/projects/scottgroup/people/peter/20260922_deepak_mouse_rnaseq/fastq/Dinakaran_012_1_D2_July_2026_RNA_DNPRT_1_Slide_3__S21_R2_001.fastq.gz
